id;cian_id;realty_type;project_type;heat_type;gas_type;is_apartment;is_penthouse;is_mortgage_allowed;is_premium;is_emergency;renovation_programm;finish_date;created_at;updated_at
103;224071057;flat;Индивидуальный проект;central;unknown;;False;True;False;False;False;{'year': 2019, 'quarter': 4};2024-10-28 23:02:49.730746;2024-11-01 14:45:34.585613
104;224851545;flat;1605-АМ;central;central;False;;True;False;False;False;;2024-10-28 23:03:18.822965;2024-11-01 14:45:35.489282
105;225113692;flat;Индивидуальный проект;itp;central;False;;True;False;False;False;{'year': 2007, 'quarter': 4};2024-10-28 23:03:42.466666;2024-11-01 14:45:36.454926
106;225701461;flat;II-18;central;central;False;;True;False;False;False;;2024-10-28 23:04:05.332003;2024-11-01 14:45:37.202824
107;226220370;flat;;central;without;False;;True;False;False;False;;2024-10-28 23:09:26.885481;2024-11-01 14:45:41.802318
108;226342793;flat;Индивидуальный проект;central;central;False;;True;False;False;False;;2024-10-28 23:09:45.330341;2024-11-01 14:45:42.909927
109;226541138;flat;Индивидуальный проект;central;central;False;False;True;False;False;False;;2024-10-28 23:10:03.756184;2024-11-01 14:45:45.343930
110;226902982;flat;КОПЭ;central;unknown;False;False;True;False;False;False;;2024-10-28 23:10:24.553560;2024-11-01 14:45:46.094629
111;226974795;flat;;none;unknown;False;;True;False;False;False;;2024-10-28 23:10:46.350911;2024-11-01 14:45:47.060904
112;227002725;flat;П-43;central;without;False;;True;False;False;False;;2024-10-28 23:11:13.444317;2024-11-01 14:45:47.782369
113;227446730;flat;Индивидуальный проект;central;without;False;;True;False;False;False;{'year': 2014, 'quarter': 1};2024-10-28 23:11:56.983363;2024-11-01 14:45:52.505231
114;227477881;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 23:12:16.851152;2024-11-01 14:45:53.573327
115;227630883;flat;Индивидуальный проект;central;without;;;True;False;False;False;{'year': 2011, 'quarter': 3};2024-10-28 23:12:41.332926;2024-11-01 14:45:55.937872
116;228103586;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 23:13:05.475862;2024-11-01 14:45:56.834787
117;228786744;flat;;;;False;;True;False;;;{'year': 2023, 'quarter': 3};2024-10-28 23:13:28.496944;2024-11-01 14:45:57.824726
118;228824975;flat;Индивидуальный проект;central;central;False;;;False;False;False;;2024-10-28 23:13:57.884724;2024-11-01 14:45:58.571210
119;228909140;flat;Индивидуальный проект;itp;without;;;True;False;False;False;;2024-10-28 23:14:26.864911;2024-11-01 14:46:03.195105
120;228935891;flat;Индивидуальный проект;central;without;False;False;True;False;False;False;{'year': 2019, 'quarter': 2};2024-10-28 23:14:45.931386;2024-11-01 14:46:04.356710
121;229252131;flat;Индивидуальный проект;itp;without;;;;False;False;False;{'year': 2009, 'quarter': 4};2024-10-28 23:15:06.379363;2024-11-01 14:46:06.702125
122;230133401;flat;;none;unknown;True;False;True;False;False;False;{'year': 2012, 'quarter': 3};2024-10-28 23:15:32.163016;2024-11-01 14:46:07.477539
123;230720388;flat;II-49;central;central;False;False;True;False;False;False;;2024-10-28 23:15:46.279104;2024-11-01 14:46:08.559773
124;231146699;flat;Индивидуальный проект;autonomousBoiler;central;False;;True;False;False;False;{'year': 0, 'quarter': 0};2024-10-28 23:16:14.708237;2024-11-01 14:46:09.301551
125;231282993;flat;;none;unknown;False;;True;False;False;False;;2024-10-28 23:16:43.518448;2024-11-01 14:46:13.920058
126;231550821;flat;Индивидуальный проект;central;central;False;;True;False;False;False;;2024-10-28 23:16:58.065612;2024-11-01 14:46:15.179166
127;232658940;flat;Индивидуальный проект;autonomousBoiler;central;False;False;True;False;False;False;{'year': 0, 'quarter': 0};2024-10-28 23:17:25.138447;2024-11-01 14:46:17.453683
128;232991030;flat;II-05;central;central;False;;True;False;False;False;;2024-10-28 23:17:37.930172;2024-11-01 14:46:18.131805
129;234154895;flat;Индивидуальный проект;central;without;False;False;False;False;False;False;;2024-10-28 23:18:07.230800;2024-11-01 14:46:19.260423
130;234280127;flat;;;;False;False;False;False;;;;2024-10-28 23:18:36.189801;2024-11-01 14:46:19.926823
131;234296757;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 23:19:00.904617;2024-11-01 14:46:24.830848
132;234617100;flat;Индивидуальный проект;central;without;False;;;False;False;False;;2024-10-28 23:19:27.644995;2024-11-01 14:46:26.313621
133;234920513;flat;Индивидуальный проект;central;without;False;False;True;False;False;False;;2024-10-28 23:19:40.257003;2024-11-01 14:46:28.234118
134;235048570;flat;;central;without;;;;False;False;False;{'year': 0, 'quarter': 0};2024-10-28 23:20:10.761173;2024-11-01 14:46:29.131592
135;235191953;flat;Индивидуальный проект;none;unknown;False;False;True;False;False;False;;2024-10-28 23:20:34.434167;2024-11-01 14:46:29.933795
136;235565015;flat;Индивидуальный проект;central;without;False;False;False;False;False;False;{'year': 2019, 'quarter': 2};2024-10-28 23:20:45.230703;2024-11-01 14:46:30.660437
137;235843327;flat;Индивидуальный проект;central;without;;;;False;False;False;{'year': 2006, 'quarter': 1};2024-10-28 23:21:14.771088;2024-11-01 14:46:35.577311
138;235843334;flat;Индивидуальный проект;central;without;;;True;False;False;False;{'year': 2003, 'quarter': 2};2024-10-28 23:21:44.590223;2024-11-01 14:46:36.841403
139;235877802;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 23:22:02.030573;2024-11-01 14:46:38.823865
140;236086724;flat;;itp;without;False;;;False;False;False;{'year': 2009, 'quarter': 1};2024-10-28 23:22:40.444817;2024-11-01 14:46:39.899889
141;236463021;flat;;central;without;False;;True;False;False;False;;2024-10-28 23:23:03.224007;2024-11-01 14:46:40.665761
142;236797984;flat;;central;central;False;;True;False;False;False;{'year': 2009, 'quarter': 1};2024-10-28 23:23:28.669834;2024-10-28 23:23:28.669834
143;236960194;flat;Индивидуальный проект;central;central;False;;;False;False;False;{'year': 2010, 'quarter': 1};2024-10-28 23:23:57.469278;2024-11-01 14:47:48.197120
144;237406753;flat;Индивидуальный проект;central;without;True;False;True;False;False;False;{'year': 2018, 'quarter': 4};2024-10-28 23:29:09.334869;2024-11-01 14:47:50.102653
145;237949570;flat;1-515;central;without;False;;True;False;False;False;;2024-10-28 23:29:34.313331;2024-11-01 14:47:50.918361
146;238255986;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 23:29:49.861426;2024-11-01 14:47:51.801102
147;238622072;flat;;none;unknown;True;;;False;False;False;{'year': 2012, 'quarter': 3};2024-10-28 23:30:18.947882;2024-11-01 14:47:52.470881
148;238657724;flat;П-44Т;central;without;False;False;True;False;False;False;;2024-10-28 23:30:42.180746;2024-11-01 14:48:00.997099
149;238813311;flat;;;;False;;;False;;;{'year': 2021, 'quarter': 4};2024-10-28 23:31:00.583761;2024-11-01 14:48:01.931299
150;239000665;flat;;itp;without;;;;False;False;False;;2024-10-28 23:31:30.949569;2024-11-01 14:48:02.853892
151;239000692;flat;;none;unknown;;;;False;False;False;;2024-10-28 23:31:46.131568;2024-11-01 14:48:03.533589
152;239001047;flat;Индивидуальный проект;central;without;;;;False;False;False;;2024-10-28 23:32:13.985427;2024-11-01 14:48:11.753025
153;239124088;flat;;central;central;;;;False;False;False;;2024-10-28 23:32:38.696711;2024-11-01 14:48:12.480849
154;239124089;flat;;none;unknown;True;;;False;False;False;{'year': 2009, 'quarter': 3};2024-10-28 23:32:54.183561;2024-11-01 14:48:14.544506
155;239293843;flat;Индивидуальный проект;itp;without;False;;;False;False;False;;2024-10-28 23:33:11.410251;2024-11-01 14:48:15.331612
156;239383173;flat;Индивидуальный проект;central;without;False;False;True;False;False;False;{'year': 2010, 'quarter': 1};2024-10-28 23:33:30.455271;2024-11-01 14:48:22.386837
157;239678768;flat;II-18;central;central;False;;True;False;False;False;;2024-10-28 23:33:47.699149;2024-11-01 14:48:23.398888
158;239955139;flat;;central;without;False;;True;False;False;False;{'year': 0, 'quarter': 0};2024-10-28 23:34:08.702296;2024-11-01 14:48:25.139457
159;240050578;flat;II-29;central;central;;False;True;False;False;False;;2024-10-28 23:34:20.729838;2024-11-01 14:48:26.344447
160;240300521;flat;;boiler;central;;;;False;False;False;;2024-10-28 23:34:46.845505;2024-11-01 14:48:27.765105
161;240329967;flat;II-18-01/12;central;without;False;False;True;False;False;False;;2024-10-28 23:35:08.310079;2024-11-01 14:48:32.862501
162;240466127;flat;;none;unknown;True;False;False;False;False;False;{'year': 2009, 'quarter': 3};2024-10-28 23:35:31.574977;2024-11-01 14:48:33.694574
163;240687500;flat;;none;unknown;True;False;True;False;False;False;{'year': 2010, 'quarter': 4};2024-10-28 23:35:57.339978;2024-11-01 14:48:34.322000
164;240906517;flat;Индивидуальный проект;central;without;False;;True;False;False;False;{'year': 2010, 'quarter': 2};2024-10-28 23:36:18.789126;2024-11-01 14:48:35.746594
165;240923526;flat;;central;without;;;;False;False;False;;2024-10-28 23:36:39.856597;2024-11-01 14:48:37.057702
166;240926398;flat;Индивидуальный проект;central;without;;;;False;False;False;{'year': 2004, 'quarter': 2};2024-10-28 23:37:02.796839;2024-11-01 14:48:39.914630
167;240972962;flat;Индивидуальный проект;central;central;False;False;True;False;False;False;;2024-10-28 23:37:30.024216;2024-11-01 14:48:43.400670
168;241016893;flat;П-3;central;without;False;;True;False;False;False;;2024-10-28 23:38:08.276146;2024-11-01 14:48:44.429117
169;241154833;flat;ii-68;central;without;False;;True;False;False;False;;2024-10-28 23:38:38.732352;2024-11-01 14:48:45.216132
170;241172804;flat;Индивидуальный проект;central;unknown;False;;True;False;False;False;{'year': 2016, 'quarter': 4};2024-10-28 23:38:52.451639;2024-11-01 14:48:46.426134
171;241370449;flat;;;;True;;True;False;;;{'year': 2019, 'quarter': 1};2024-10-28 23:39:04.867524;2024-11-01 14:48:47.766843
172;241381089;flat;Индивидуальный проект;central;without;False;False;True;False;False;False;{'year': 2011, 'quarter': 3};2024-10-28 23:39:16.522242;2024-11-01 14:48:50.719293
173;241387763;flat;;;;True;;True;False;;;;2024-10-28 23:44:36.286118;2024-11-01 14:48:54.150952
174;242010428;flat;Индивидуальный проект;central;unknown;True;True;True;False;False;False;{'year': 2007, 'quarter': 4};2024-10-28 23:44:58.452169;2024-11-01 14:48:55.623972
175;242010851;flat;Индивидуальный проект;central;central;False;False;True;False;False;False;;2024-10-28 23:45:14.718649;2024-11-01 14:48:56.674704
176;242093065;flat;Индивидуальный проект;central;unknown;False;False;True;False;False;False;{'year': 2016, 'quarter': 4};2024-10-28 23:45:28.847333;2024-11-01 14:48:57.298702
177;242341540;flat;Индивидуальный проект;central;without;;False;True;False;False;False;{'year': 2009, 'quarter': 2};2024-10-28 23:45:51.308235;2024-11-01 14:48:58.504528
