id;cian_id;repair_type;total_area;living_area;kitchen_area;ceiling_height;balconies;loggias;rooms_count;separated_wc;combined_wc;windows_view;created_at;updated_at
151;239000692;design;1040.00;;19.00;;;;6;5;;;2024-10-28 23:31:46.131568;2024-11-01 14:48:03.521205
152;239001047;no;290.60;180.00;20.00;3.10;;;6;3;;;2024-10-28 23:32:13.985427;2024-11-01 14:48:11.736784
153;239124088;euro;103.50;;;3.00;;;3;2;;yardAndStreet;2024-10-28 23:32:38.696711;2024-11-01 14:48:12.471111
154;239124089;no;320.00;180.00;30.00;;;;6;5;;street;2024-10-28 23:32:54.183561;2024-11-01 14:48:14.533900
155;239293843;design;130.00;75.00;30.00;;;1;3;;2;yardAndStreet;2024-10-28 23:33:11.410251;2024-11-01 14:48:15.320461
156;239383173;design;330.00;210.00;30.00;;0;3;6;0;4;yard;2024-10-28 23:33:30.455271;2024-11-01 14:48:22.370181
157;239678768;cosmetic;31.40;21.10;5.20;2.64;1;0;1;0;1;yard;2024-10-28 23:33:47.699149;2024-11-01 14:48:23.388371
158;239955139;design;260.80;120.00;20.00;3.30;1;;4;1;2;yardAndStreet;2024-10-28 23:34:08.702296;2024-11-01 14:48:25.126506
159;240050578;cosmetic;53.80;37.40;5.80;2.64;1;0;3;1;0;;2024-10-28 23:34:20.729838;2024-11-01 14:48:26.330891
160;240300521;design;340.00;154.00;18.00;;;;5;3;;street;2024-10-28 23:34:46.845505;2024-11-01 14:48:27.754365
161;240329967;cosmetic;48.00;32.00;9.00;2.64;0;1;2;1;0;yard;2024-10-28 23:35:08.310079;2024-11-01 14:48:32.843942
162;240466127;design;187.00;;;;0;0;3;1;2;;2024-10-28 23:35:31.574977;2024-11-01 14:48:33.682833
163;240687500;no;63.00;;;;0;0;3;0;0;;2024-10-28 23:35:57.339978;2024-11-01 14:48:34.309378
164;240906517;design;110.00;;;3.00;;;4;;2;yard;2024-10-28 23:36:18.789126;2024-11-01 14:48:35.729068
165;240923526;design;199.50;141.00;15.00;;;1;4;3;;yardAndStreet;2024-10-28 23:36:39.856597;2024-11-01 14:48:37.043271
166;240926398;no;213.40;100.00;35.00;4.50;;;5;4;;;2024-10-28 23:37:02.796839;2024-11-01 14:48:39.900766
167;240972962;cosmetic;250.00;;;;;;6;;2;yardAndStreet;2024-10-28 23:37:30.024216;2024-11-01 14:48:43.387916
168;241016893;cosmetic;54.00;32.00;8.50;2.64;1;;2;1;;street;2024-10-28 23:38:08.276146;2024-11-01 14:48:44.416446
169;241154833;no;35.90;;9.80;2.48;0;1;1;0;1;yard;2024-10-28 23:38:38.732352;2024-11-01 14:48:45.205655
170;241172804;design;41.00;19.00;15.00;2.85;0;0;1;0;0;;2024-10-28 23:38:52.451639;2024-11-01 14:48:46.416545
171;241370449;no;171.00;;;;;;3;2;;street;2024-10-28 23:39:04.867524;2024-11-01 14:48:47.748509
172;241381089;no;200.00;;;;;1;5;3;;yard;2024-10-28 23:39:16.522242;2024-11-01 14:48:50.709347
173;241387763;euro;102.00;70.00;;3.00;1;;3;2;;yard;2024-10-28 23:44:36.286118;2024-11-01 14:48:54.118638
174;242010428;design;322.50;179.00;22.00;;1;;6;;4;yardAndStreet;2024-10-28 23:44:58.452169;2024-11-01 14:48:55.613911
175;242010851;euro;168.00;93.70;15.00;;1;;4;1;2;yardAndStreet;2024-10-28 23:45:14.718649;2024-11-01 14:48:56.663730
176;242093065;no;73.00;36.00;17.30;;;1;2;1;;yardAndStreet;2024-10-28 23:45:28.847333;2024-11-01 14:48:57.288462
